iter	Passed	Remaining
0	56	56761
1	57	28562
2	57	19176
3	58	14468
4	58	11634
5	58	9746
6	59	8400
7	59	7383
8	59	6592
9	60	5960
10	60	5442
11	60	5009
12	61	4643
13	61	4331
14	61	4059
15	62	3822
16	62	3610
17	62	3421
18	62	3251
19	63	3100
20	63	2963
21	63	2838
22	64	2726
23	64	2623
24	64	2530
25	65	2443
26	65	2362
27	65	2284
28	66	2214
29	66	2148
30	66	2085
31	67	2027
32	67	1977
33	67	1926
34	68	1881
35	68	1838
36	68	1795
37	69	1755
38	69	1720
39	70	1683
40	70	1648
41	70	1614
42	71	1583
43	71	1552
44	71	1522
45	72	1494
46	72	1467
47	72	1441
48	73	1416
49	73	1394
50	73	1370
51	74	1352
52	74	1331
53	74	1311
54	75	1302
55	76	1282
56	76	1265
57	76	1248
58	77	1232
59	77	1215
60	77	1200
61	78	1184
62	78	1170
63	79	1157
64	79	1144
65	79	1131
66	80	1117
67	80	1105
68	81	1093
69	81	1086
70	82	1075
71	82	1064
72	82	1052
73	83	1040
74	83	1030
75	83	1020
76	84	1010
77	84	1000
78	84	990
79	85	980
80	85	971
81	85	962
82	86	951
83	86	941
84	86	933
85	86	924
86	87	916
87	87	907
88	87	899
89	88	891
90	88	883
91	88	876
92	89	871
93	89	864
94	89	857
95	90	850
96	90	843
97	90	836
98	91	829
99	91	823
100	91	816
101	92	810
102	92	803
103	92	797
104	92	791
105	93	785
106	93	779
107	93	773
108	93	768
109	94	764
110	94	759
111	95	753
112	95	748
113	95	743
114	96	739
115	96	734
116	96	728
117	96	724
118	97	719
119	97	714
120	97	710
121	98	705
122	98	701
123	98	696
124	98	692
125	99	689
126	99	684
127	99	680
128	100	677
129	100	673
130	100	669
131	101	665
132	101	661
133	101	657
134	102	653
135	102	649
136	102	647
137	103	643
138	103	640
139	103	636
140	103	633
141	104	629
142	104	626
143	104	623
144	105	620
145	105	617
146	105	614
147	106	612
148	106	610
149	107	607
150	107	604
151	107	601
152	108	598
153	108	596
154	108	593
155	109	590
156	109	587
157	109	584
158	110	582
159	110	579
160	110	576
161	110	573
162	111	571
163	111	568
164	111	566
165	112	564
166	112	562
167	113	560
168	113	558
169	114	556
170	114	555
171	114	553
172	115	550
173	116	551
174	116	549
175	116	547
176	117	545
177	117	542
178	117	540
179	118	538
180	118	537
181	119	535
182	119	533
183	119	531
184	120	529
185	120	526
186	120	524
187	121	522
188	121	520
189	121	518
190	121	516
191	122	514
192	122	513
193	123	511
194	123	509
195	123	507
196	124	505
197	124	504
198	124	502
199	125	501
200	125	499
201	125	497
202	126	495
203	126	494
204	127	492
205	127	490
206	127	489
207	128	487
208	128	485
209	128	484
210	129	482
211	129	480
212	129	479
213	129	477
214	130	475
215	130	473
216	130	472
217	131	470
218	131	469
219	131	467
220	132	465
221	132	464
222	132	462
223	133	461
224	133	459
225	133	457
226	134	456
227	134	454
228	134	453
229	134	451
230	135	449
231	135	448
232	135	446
233	136	445
234	136	444
235	136	442
236	137	441
237	137	439
238	137	438
239	137	436
240	138	435
241	138	434
242	138	432
243	139	431
244	139	429
245	139	428
246	140	427
247	140	425
248	140	424
249	141	423
250	141	422
251	141	421
252	142	419
253	142	418
254	142	417
255	143	415
256	143	414
257	143	413
258	143	411
259	144	410
260	144	409
261	144	408
262	145	406
263	145	405
264	145	404
265	146	403
266	146	402
267	146	400
268	147	399
269	147	398
270	147	397
271	148	396
272	148	395
273	148	394
274	149	392
275	149	391
276	149	390
277	149	389
278	150	387
279	150	386
280	150	385
281	150	384
282	151	383
283	151	381
284	151	380
285	152	379
286	152	378
287	152	377
288	152	376
289	153	375
290	153	374
291	153	373
292	154	372
293	154	371
294	154	369
295	155	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	364
301	157	363
302	157	363
303	158	362
304	158	361
305	159	361
306	159	360
307	160	359
308	160	359
309	161	358
310	161	358
311	162	357
312	163	357
313	163	357
314	163	356
315	164	355
316	164	354
317	164	353
318	165	352
319	165	351
320	165	351
321	166	350
322	166	349
323	166	348
324	167	347
325	167	346
326	168	345
327	168	344
328	168	344
329	169	343
330	169	342
331	169	341
332	169	340
333	170	339
334	170	338
335	170	337
336	171	337
337	171	336
338	172	335
339	172	334
340	172	334
341	173	333
342	173	332
343	174	332
344	174	331
345	175	330
346	175	330
347	175	329
